ticker,method,n_trades_total,win_rate_total,cumulative_return_total,max_drawdown_total,n_trades_is,win_rate_is,cumulative_return_is,max_drawdown_is,n_trades_oos,win_rate_oos,cumulative_return_oos,max_drawdown_oos,n_confirmed,n_not_confirmed,cumulative_confirmed,cumulative_not_confirmed
CEPU_BA,B&H,1,1.0,66.17032786885245,0.0,1,1.0,38.00639344262295,0.0,1,1.0,0.7118487394957984,0.0,0,0,,
CEPU_MEP,HMA16,70,0.34285714285714286,-0.6236612997559619,-0.7519868958628644,47,0.3617021276595745,-0.3903047853747086,-0.5982012940504884,23,0.30434782608695654,-0.3827428997038629,-0.567831284028833,39,31,-0.48128952099389233,-0.2744725324131978
CEPU_MEP,EMA_12_26,33,0.45454545454545453,-0.010017892552021901,-0.4799619850615068,24,0.5,-0.05856678067700771,-0.4799619850615068,9,0.3333333333333333,0.05156912580575668,-0.29014926911499095,23,10,-0.15447549555185236,0.1708496941719202
CEPU_MEP,SMA_10_50_100,24,0.4583333333333333,-0.5004303606154996,-0.65718819529152,18,0.4444444444444444,-0.5402145798377374,-0.6524635170994828,6,0.5,0.08652779639727881,-0.3386002770631308,13,11,-0.38638970277146645,-0.18585192973311537
CEPU_MEP,B&H,1,1.0,4.75,0.0,1,1.0,2.7100000000000004,0.0,1,1.0,0.5383870967741935,0.0,0,0,,
CRES_BA,HMA16,80,0.5,6.533080624243367,-0.24308947381923637,52,0.5769230769230769,7.068075789417648,-0.22064378392410763,28,0.35714285714285715,-0.06631013132970287,-0.24308947381923648,43,36,2.730551463081492,0.9550252121554281
CRES_BA,EMA_12_26,40,0.475,4.2291653147616834,-0.33140036508666115,26,0.5384615384615384,4.12412146076429,-0.25965854590484616,14,0.35714285714285715,0.02049987589125668,-0.3314003650866613,27,13,4.285572056843125,-0.010671832958631278
CRES_BA,SMA_10_50_100,28,0.5714285714285714,2.2933089049857873,-0.39610837168172996,20,0.6,2.1734493603780756,-0.31843622791276355,8,0.5,0.0377694839262952,-0.3550581202188793,9,19,0.4528540722601204,1.2667857480432136
CRES_BA,B&H,1,1.0,36.74903614457831,0.0,1,1.0,23.929759036144578,0.0,1,1.0,0.5113592233009709,0.0,0,0,,
CRES_MEP,HMA16,67,0.373134328358209,0.184118376332711,-0.4194787219483646,47,0.3829787234042553,0.2122256587803022,-0.3941213995076399,20,0.35,-0.02318651007261452,-0.38838704356601916,35,31,1.089118165455666,-0.39013700885337455
